City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ugoofaaru,5.6667,73.0,81.86,76,20,8.79,MV,1638830252
Ko Samui,9.5357,99.9357,79.59,71,13,13.58,TH,1638830254
Oddur,4.1213,43.8894,71.69,78,51,9.35,SO,1638830256
Ushuaia,-54.8,-68.3,56.86,44,75,17.27,AR,1638830258
East London,-33.0153,27.9116,65.57,85,72,8.46,ZA,1638830261
Viļāni,56.5525,26.9245,7.29,98,80,4.61,LV,1638830263
Bambous Virieux,-20.3428,57.7575,78.22,78,20,8.05,MU,1638830265
Itarema,-2.9248,-39.9167,81.12,80,39,17.74,BR,1638830268
Lebu,-37.6167,-73.65,60.08,83,4,12.75,CL,1638830270
Mar del Plata,-38.0023,-57.5575,66.22,80,0,18.01,AR,1638830272
Cape Town,-33.9258,18.4232,62.11,72,0,1.99,ZA,1638830070
Tuktoyaktuk,69.4541,-133.0374,10.4,79,90,14.97,CA,1638830277
Warmbad,-28.45,18.7333,71.89,32,21,5.68,NA,1638830279
Yuzhno-Kurilsk,44.0306,145.8556,41.94,69,1,5.12,RU,1638830281
Busselton,-33.65,115.3333,60.04,60,0,18.34,AU,1638830284
Port Alfred,-33.5906,26.891,64.76,87,78,11.07,ZA,1638830286
Hayden,47.766,-116.7866,31.91,87,90,6.91,US,1638829998
Bluff,-46.6,168.3333,61.81,54,2,6.64,NZ,1638830290
Kaeo,-35.1,173.7833,73.33,84,100,7.09,NZ,1638830293
Punta Arenas,-53.15,-70.9167,51.12,85,100,14.92,CL,1638830295
Tilhar,27.9833,79.7333,60.66,63,0,7.49,IN,1638830297
Albany,42.6001,-73.9662,57.78,88,100,11.54,US,1638830292
Vinh,18.6667,105.6667,57.24,75,23,5.91,VN,1638830301
Narodychi,51.2029,29.0823,32.56,99,100,3.33,UA,1638830304
Avarua,-21.2078,-159.775,75.25,94,75,6.91,CK,1638830306
Xichang,27.8964,102.2634,51.67,83,96,2.62,CN,1638830308
Huaura,-11.07,-77.5994,68.31,81,66,8.52,PE,1638830311
Vaini,-21.2,-175.2,82.56,83,75,10.36,TO,1638829875
Bismarck,46.8083,-100.7837,13.21,69,1,1.01,US,1638830315
Ribeira Grande,38.5167,-28.7,64.74,78,100,17.02,PT,1638830317
Labuhan,-6.8844,112.2051,78.19,86,100,5.21,ID,1638830320
Thompson,55.7435,-97.8558,-18.24,69,20,6.91,CA,1638830322
Igrim,63.1906,64.4162,-0.83,93,62,6.89,RU,1638830324
Mariental,-24.6333,17.9667,74.19,20,0,0.72,NA,1638830327
Hurghada,27.2574,33.8129,60.84,59,0,0.0,EG,1638830329
Mataura,-46.1927,168.8643,61.48,44,4,2.59,NZ,1638830331
Fairbanks,64.8378,-147.7164,26.94,73,90,4.61,US,1638830117
Zeya,53.75,127.2667,4.89,85,4,2.39,RU,1638830336
Shingū,33.7333,135.9833,57.38,90,100,5.95,JP,1638830338
